MILKY-WAY,HSB,0.0081,1.6,2.1,0.43,6.416
DDO-0154,LSB,4.2,0.007,0.8,0.03,0.00315
IC-2574,LSB,4.5,0.345,4.2,0.19,0.0966
NGC-0925,LSB,8.7,1.444,3.9,0.41,1.3718
NGC-2403,HSB,4.3,1.647,2.7,0.46,2.37168
NGC-2841,HSB,14.1,4.742,3.5,0.86,19.53704
NGC-2903,HSB,9.4,4.088,3,0.49,7.154
NGC-2976,LSB,3.6,0.201,1.2,0.01,0.3216
NGC-3031,HSB,3.7,3.187,2.6,0.38,8.66864
NGC-3198,HSB,14.1,3.241,4,1.06,3.62992
NGC-3521,HSB,12.2,4.769,3.3,1.03,9.25186
NGC-3621,HSB,7.4,2.048,2.9,0.89,2.88768
NGC-3627,HSB,10.2,3.7,3.1,0.1,6.623
NGC-4736,HSB,5,1.46,2.1,0.05,2.336
NGC-4826,HSB,5.4,1.441,2.6,0.03,3.64573
NGC-5055,HSB,9.2,3.622,2.9,0.76,6.77314
NGC-6946,HSB,6.9,3.732,2.9,0.57,6.26976
NGC-7331,HSB,14.2,6.773,3.2,0.85,12.05594
NGC-7793,HSB,5.2,0.91,1.7,0.16,0.7917
NGC-3726,HSB,17.4,3.34,3.2,0.6,3.841
NGC-3769,HSB,15.5,0.684,1.5,0.41,1.36116
NGC-3877,HSB,15.5,1.948,2.4,0.11,3.42848
NGC-3893,HSB,18.1,2.928,2.4,0.59,5.00688
NGC-3917,LSB,16.9,1.334,2.8,0.17,2.22778
NGC-3949,HSB,18.4,2.327,1.7,0.35,2.37354
NGC-3953,HSB,18.7,4.236,3.9,0.31,9.78516
NGC-3972,HSB,18.6,0.978,2,0.13,1.49634
NGC-3992,HSB,25.6,8.456,5.7,1.94,13.9524
NGC-4010,LSB,18.4,0.883,3.4,0.29,2.0309
NGC-4013,HSB,18.6,2.088,2.1,0.32,5.57496
NGC-4051,HSB,14.6,2.281,2.3,0.18,3.17059
NGC-4085,HSB,19,1.212,1.6,0.15,1.34532
NGC-4088,HSB,15.8,2.957,2.8,0.64,4.67206
NGC-4100,HSB,21.4,3.388,2.9,0.44,5.72572
NGC-4138,LSB,15.6,0.827,1.2,0.11,2.96893
NGC-4157,HSB,18.7,2.901,2.6,0.88,5.83101
NGC-4183,HSB,16.7,1.042,2.9,0.3,1.43796
NGC-4217,HSB,19.6,3.031,3.1,0.3,5.54673
NGC-4389,HSB,15.5,0.61,1.2,0.04,0.4148
UGC-6399,LSB,18.7,0.291,2.4,0.07,0.59364
UGC-6446,LSB,15.9,0.263,1.9,0.24,0.35768
UGC-6667,LSB,19.8,0.422,3.1,0.1,0.70474
UGC-6818,LSB,21.7,0.352,2.1,0.16,0.11616
UGC-6917,LSB,18.9,0.563,2.9,0.22,1.2386
UGC-6923,LSB,18,0.297,1.5,0.08,0.35046
UGC-6930,LSB,17,0.601,2.2,0.29,1.01569
UGC-6973,HSB,25.3,1.647,2.2,0.35,3.98574
UGC-6983,LSB,20.2,0.577,2.9,0.37,1.28094
UGC-7089,LSB,13.9,0.352,2.3,0.07,0.34496
DDO-0064,LSB,6.8,0.015,1.3,0.02,0.04305
F563-1,LSB,46.8,0.14,2.9,0.29,1.351
F563-V2,LSB,57.8,0.266,2,0.2,0.60116
F568-3,LSB,80,0.351,4.2,0.3,1.20393
F583-1,LSB,32.4,0.064,1.6,0.18,0.14848
