R,VROT_DATA,VROT_DATA_ERROR
.13235413498671528,3.9,.857
.2647082702363023,9.47,1.96
.397062406011633,13.62,3.363
.5294165425755788,16.31,3.154
.6617706801910119,17.27,3.131
.794124819120804,18.25,3.733
.9264789596278266,20.34,3.808
1.0588331019749517,22.56,3.34
1.1911872464250517,24.6,2.906
1.3235413932409974,26.19,2.354
1.4558955426856612,28.04,2.107
1.5882496950219154,30.22,2.924
1.720603850512631,32.03,3.062
1.8529580094206808,33.42,3.063
1.9853121720089362,34.65,3.266
2.117666338540269,34.91,3.001
2.2500205092775527,35.29,2.681
2.3823746844836577,36.06,2.395
2.514728864421456,36.65,2.03
2.647083049353821,37.33,1.833
2.7794372395436246,37.82,1.652
2.9117914352537384,38.45,1.486
3.044145636747034,39.36,1.39
3.1764998442863868,39.88,1.357
3.3088540581346653,40.38,1.275
3.441208278554744,40.83,2.271
3.5735625058094946,41.31,2.24
3.7059167401617903,42.21,2.142
3.8382709818745036,43.12,2.222
3.9706252312105064,43.86,2.4
4.102979488432673,44.29,2.497
4.2353337538038724,44.9,2.48
4.367688027586984,45.87,2.346
4.500042310044874,46.62,2.433
4.632396601440417,47.25,2.493
4.764750902036489,48.04,2.687
4.897105212095962,48.42,2.817
5.029459531881705,47.92,2.704
5.161813861656596,47.74,1.982
5.294168201683507,48.08,2.08
5.426522552225312,47.84,2.398
5.558876913544884,47.78,2.519
5.691231285905094,48.34,2.554
5.8235856695688195,48.25,2.692
5.955940064798933,47.68,3.036
6.0882944718583065,47.41,3.131
6.220648891009818,47.09,2.678
6.353003322516338,46.66,2.43
6.485357766640741,46.36,2.47
6.617712223645902,46.89,2.511
6.750066693794695,46.98,2.99
6.882421177349995,46.31,3.406
7.014775674574677,46.42,3.774
7.147130185731615,46.04,3.643
7.279484711083682,46.64,4.042
7.411839250893756,47.49,3.957
7.544193805424709,47.5,4.032
7.676548374939419,46.87,4.161
7.8089029597007595,46.7,4.396
7.941257559971606,48.33,4.286
8.073612176014834,50.01,4.673
