R,VROT_DATA,VROT_DATA_ERROR
.1308996939364954,1.29,.749
.2617993880945148,2.82,.899
.3926990826955823,4.1,1.227
.523598777961222,5.96,2.135
.6544984741129577,7.4,2.83
.7853981713723137,8.79,2.819
.9162978699608141,9.91,2.967
1.047197570099983,8.34,2.854
1.1780972720113436,9.43,2.591
1.3089969759164215,10.44,2.912
1.4398966820367398,10.28,3.265
1.570796390593823,10.83,3.18
1.701696101809195,12.38,2.996
1.8325958159043796,14.3,2.845
1.963495533100902,16.37,2.877
2.094395253620286,18.51,2.867
2.225294977684055,19.96,2.868
2.356194705513734,21.75,3.409
2.4870944373308475,24.32,4.282
2.6179941733569194,26.2,4.031
2.748893913813474,27.61,2.964
2.879793658922036,28.24,3.236
3.0106934089041286,28.56,3.237
3.141593163981278,30.62,4.196
3.272492924375008,31.56,4.093
3.403392690306843,31.65,3.778
3.534292461998306,31.29,3.239
3.6651922396709242,33.03,3.08
3.7960920235462203,34.57,3.328
3.9269918138457207,36,3.564
4.057891610790947,36.76,3.72
4.188791414603429,37.09,3.867
4.319691225504686,38.09,3.827
4.450591043716246,40.1,3.833
4.581490869459634,42.05,4.271
4.712390702956371,42.85,3.513
4.843290544427988,43.16,3.355
4.974190394096007,43.55,3.31
5.105090252181952,43.8,3.433
5.23599011890735,44.6,3.555
5.366889994493726,46.74,4.04
5.497789879162603,46.68,4.094
5.628689773135511,48.37,4.37
5.759589676633971,50.24,4.42
5.890489589879509,52.22,4.484
6.021389513093653,52.59,4.58
6.152289446497926,52.85,4.284
6.283189390313856,52.94,3.645
6.414089344762967,53.52,3.33
6.544989310066785,53.46,3.225
6.6758892864468375,54.35,3.306
6.8067892741246485,55.54,3.406
6.937689273321743,56.01,3.202
7.068589284259649,56.99,3.422
7.199489307159895,58.18,3.54
7.330389342244004,58.68,3.463
7.4612893897335,59.7,3.52
7.592189449849916,60.95,3.771
7.723089522814774,62.19,3.186
7.853989608849602,64.07,3.346
7.984889708175926,64.77,3.57
8.115789821015273,65.77,3.666
8.246689947589168,67.29,3.522
8.377590088119144,67.38,3.461
8.50849024282672,67.35,3.491
8.63939041193343,66.81,3.6
8.770290595660798,67.19,3.52
8.901190794230349,68.62,3.556
9.032091007863615,69.24,3.434
9.162991236782124,69.02,3.284
9.293891481207403,69.57,3.381
9.42479174136097,71,3.683
9.555692017464372,71.09,4.176
9.686592309739117,71.34,4.517
9.817492618406744,71.49,4.503
9.94839294368878,71.53,4.52
10.079293285806756,71.72,4.459
10.210193644982196,71.97,4.517
10.341094021436625,72.62,4.583
10.47199441539158,73.36,4.5
10.602894827068585,73.66,4.12
10.73379525668917,73.29,4.192
10.864695704474867,72.36,4.734
10.995596170647199,73.66,5.196
11.126496655427697,75.14,5.072
11.257397159037897,75.14,4.713
11.388297681699319,74.98,4.654
11.519198223633499,74.68,4.65
11.650098785061962,75.94,4.635
11.780999366206244,75.82,4.509
11.91189996728787,75.37,4.478
12.042800588528369,74.64,4.12
12.17370123014928,75.22,4.356
12.304601892372125,76.53,4.425
12.43550257541844,77.15,4.753
12.56640327950975,76.63,4.547
12.697304004867586,76.56,4.37
12.828204751713484,76.5,4.22
12.959105520268979,77.96,4.615
13.090006310755587,78.46,4.601
