R,VROT_DATA,VROT_DATA_ERROR
0.131639,18.1,1.45
0.262208,25.2,0.31
0.393848,31.7,0.23
0.524417,38.7,1.16
0.656056,44.7,1.84
0.787695,49.7,1.84
0.918264,51.9,1.66
1.0499,54.1,0.22
1.17726,56.4,0.81
1.31639,57.9,0.3
1.44482,59.1,1
1.57325,62.6,0.64
1.70168,67.3,0.74
1.84081,70.8,0.03
1.96924,73.7,1.23
2.09767,75.9,2.05
2.2261,78.2,1.47
2.36523,79.4,1.44
2.49365,79.8,1.01
2.62208,81.5,0.04
2.75051,83.1,0.58
2.88964,86.2,0.02
3.01807,88.2,0.43
3.1465,88.1,0.67
3.28563,88.7,2.43
3.41406,90.3,3.78
3.54249,92.5,4
3.67092,91.8,3.97
3.81005,92,3.92
3.93848,91.6,3.81
4.0669,91.4,4.04
4.19533,91.9,4.08
4.33446,93,3.17
4.46289,94.6,2.67
4.59132,95.4,3.07
4.71975,95.8,3.82
4.85888,95.3,3.67
4.98731,95.1,3.14
5.11574,96.7,2.45
5.24417,98.1,1.81
5.3833,98.9,0.81
5.51173,99.5,0.06
5.64015,99.3,0.46
5.76858,99.4,0.63
5.90771,101,1.18
6.03614,102,1.6
6.16457,103,2.06
6.3037,104,1.73
6.43213,104,1.42
6.56056,103,1.67
6.68899,103,1.5
6.82812,102,1.11
6.95655,102,1.16
7.08498,103,1.36
7.2134,104,1.37
7.35254,104,1.16
7.48096,104,1.08
7.60939,104,1.06
7.73782,104,1.16
7.87695,105,1.38
8.00538,106,2.33
8.13381,106,2.08
8.26224,106,2.27
8.40137,107,2.85
8.5298,108,2.96
8.65823,107,2.03
8.78665,107,1.13
8.92579,107,0.83
