R,VROT_DATA,VROT_DATA_ERROR
0.094,201.765,2.5
0.122,218.694,4
0.141,232.647,3
0.2,233,13.32
0.226,245.435,3
0.245,254.888,2
0.264,256.341,2.5
0.311,248.224,3
0.376,250.059,3
0.38,268.92,4.67
0.414,251.565,2.5
0.471,250.824,2.5
0.518,248.006,4
0.546,243.635,2
0.565,239.588,2
0.659,229.353,2
0.66,250.75,11.35
0.696,229.259,4
0.894,222.465,3
0.941,220.647,4
0.988,217.029,4
1.035,215.412,2
1.064,212.641,2
1.082,215.294,3
1.129,216.776,3
1.176,217.559,4
1.205,216.288,3
1.224,212.441,2
1.318,197.706,3
1.327,214.282,3
1.365,208.588,2
1.459,197.553,9
1.506,207.835,2.5
1.525,209.188,3
1.553,205.318,3
1.6,201.8,3
1.61,217.83,5.81
1.619,195.153,3
1.647,198.082,7
1.694,200.365,3
1.807,201.982,3
1.845,201.388,7
1.901,200.247,3
1.939,198.153,1.5
2.005,199.488,3
2.071,195.324,2
2.071,191.324,1.5
2.071,201.064,0
2.071,212.064,0
2.205,195.427,0
2.205,204.628,0
2.221,193.447,3
2.259,190.353,2
2.306,189.435,3
2.339,190.574,0
2.339,208.375,0
2.353,188.118,3
2.4,189.3,3
2.428,193.929,3
2.447,190.082,1.5
2.472,191.103,0
2.472,199.804,0
2.494,189.265,2
2.541,190.647,2
2.57,219.58,1.48
2.588,187.529,1.5
2.605,189.914,0
2.605,198.914,0
2.635,189.512,1.5
2.682,189.794,1.5
2.729,188.876,1.5
2.736,191.704,0
2.736,196.804,0
2.776,188.959,1.5
2.8,196,16
2.824,192.241,2
2.867,192.674,0
2.867,199.174,0
2.871,189.824,2
2.918,192.406,1.5
2.936,193.559,1.5
2.974,185.865,1.5
2.997,190.221,0
2.997,197.922,0
3.031,190.424,1.5
3.059,193.353,1.5
3.106,191.435,1.5
3.126,193.146,0
3.126,203.246,0
3.162,191.094,1.5
3.2,187.7,1.5
3.219,191.453,1.5
3.247,196.682,1.5
3.254,217.847,0
3.254,206.147,0
3.304,201.441,1.5
3.332,197.071,1.5
3.369,193.776,1.5
3.381,216.824,0
3.381,202.324,0
3.407,195.482,1.5
3.445,197.688,1.5
3.482,197.694,2
3.507,200.174,0
3.507,200.074,0
3.529,199.176,2
3.576,197.059,2
3.59,223.11,2.43
3.6,208,15
3.614,196.465,1.5
3.632,197.198,0
3.632,201.198,0
3.671,195.724,2
3.689,198.276,1.5
3.746,197.635,1.5
3.756,199.594,0
3.756,219.795,0
3.784,201.041,1.5
3.821,201.947,1.5
3.859,202.853,1.5
3.878,202.862,0
3.878,224.462,0
3.896,198.259,1.5
3.953,201.318,1.5
3.972,207.571,1.5
4,208.7,0
4,224.5,0
4.009,210.576,1.5
4.047,212.282,1.5
4.094,212.565,1.5
4.12,235.308,0
4.12,230.108,0
4.141,214.147,1.5
4.188,214.929,1.5
4.235,213.212,1.5
4.239,212.984,0
4.239,209.084,0
4.264,206.841,1.2
4.311,207.024,1.5
4.348,208.629,1.5
4.357,212.728,0
4.357,205.328,0
4.386,208.035,2
4.4,215,20
4.424,219.141,1.5
4.452,215.371,3.5
4.474,214.239,0
4.474,203.739,0
4.48,221.3,3
4.51,247.88,2.99
4.518,212.706,1.5
4.565,201.588,1.5
4.589,211.315,0
4.589,204.415,0
4.612,200.071,2
4.659,202.353,2
4.702,206.557,0
4.702,200.557,0
4.706,199.235,1.5
4.753,199.118,1.5
4.8,208.2,1.5
4.815,209.363,0
4.815,204.063,0
4.838,206.906,1.5
4.875,207.312,1.5
4.894,213.165,1.5
4.925,211.132,0
4.925,202.632,0
4.932,210.171,2
4.96,212.2,1.5
4.988,212.529,1.5
5.035,211.412,1.5
5.035,212.264,0
5.035,202.864,0
5.082,213.494,1.5
5.129,211.776,2
5.142,205.858,0
5.142,201.058,0
5.176,212.859,1.5
5.2,205,12
5.214,207.165,1.5
5.224,201.092,20.1665
5.224,201.092,20.1665
5.248,207.412,0
5.248,200.912,0
5.271,211.124,1.5
5.286,235.414,20.7985
5.286,235.414,20.7985
5.294,201.869,18.2165
5.294,201.869,18.2165
5.299,209.153,1.5
5.336,209.459,1.5
5.353,205.926,0
5.353,195.826,0
5.365,207.588,2
5.412,207.471,1.5
5.456,210.6,0
5.456,197.6,0
5.459,203.353,1.5
5.506,205.535,1.5
5.53,253.14,1.69
5.534,206.465,1.5
5.557,208.432,0
5.557,199.632,0
5.572,211.071,1.5
5.609,209.976,1.5
5.657,208.821,0
5.657,203.922,0
5.666,212.035,2
5.694,209.765,1.5
5.741,209.947,1.5
5.755,210.068,0
5.755,205.068,0
5.788,209.029,1.5
5.851,213.871,0
5.851,206.271,0
5.854,209.565,1.5
5.902,204.58,9.036
5.902,204.58,9.036
5.911,204.824,3
5.929,208.376,1.5
5.945,209.329,0
5.976,210.059,1.5
6,211,6
6.024,214.141,1.5
6.038,217.642,0
6.038,213.242,0
6.052,220.471,1.5
6.095,204.045,16.8265
6.095,204.045,16.8265
6.108,222.729,1.5
6.128,218.609,0
6.128,213.209,0
6.142,219.014,4.7895
