R,VROT_DATA,VROT_DATA_ERROR
.2331953806908793,17.2,5.698
.46639076184491357,37.45,6.548
.6995861439252582,57.01,5.03
.9327815273950674,70.58,4.519
1.1659769127174973,77.05,2.833
1.3991723003557024,79.73,2.831
1.6323676907728373,84.06,2.885
1.8655630844320579,90.57,3.713
2.0987584817965192,98.39,4.628
2.3319538833293763,104.69,5.61
2.565149289493784,109.19,5.778
2.7983447007528985,112.95,4.854
3.0315401175698735,115.63,4.194
3.264735540407866,118.77,3.58
3.4979309697300303,122.37,3.084
3.7311264059995217,125.09,3.405
3.9643218496794974,125.94,4.2
4.197517301233111,125.85,3.966
4.430712761123518,126.46,2.969
4.663908229813875,127.43,2.821
4.8971037077673385,129.19,2.837
5.130299195447063,130.93,2.842
5.363494693316203,132.37,3.002
5.596690201837919,133.67,3.244
5.829885721475362,134.59,3.211
6.063081252691692,135.54,2.677
6.296276795950062,136.56,2.759
6.529472351713631,136.85,3.343
6.762667920445554,136.78,3.336
6.995863502608987,135.88,3.297
7.229059098667091,135.05,3.707
7.462254709083013,134.7,4.276
7.695450334319923,135,5.43
7.9286459748409674,136.58,5.807
8.161841631109306,138.51,5.631
8.395037303588099,139.92,5.388
8.628232992740504,139.64,5.633
8.861428699029672,139.3,5.377
9.094624422918764,139.29,5.065
9.327820164870941,138.92,4.588
9.56101592534936,138.49,4.81
9.794211704817176,138.83,4.657
10.027407503737546,138.89,4.265
10.260603322573635,139.32,4.62
10.493799161788596,140.47,4.2
10.726995021845587,141.42,3.974
10.960190903207774,142.02,3.853
11.19338680633831,142.34,3.781
11.426582731700352,142.39,3.725
11.659778679757066,141.9,3.537
11.892974650971606,140.87,3.621
12.126170645807134,140.64,3.49
12.359366664726812,140.44,3.411
12.592562708193798,140.3,3.41
12.825758776671249,140.48,3.498
13.058954870622332,140.36,3.501
13.292150990510201,139.9,3.484
13.525347136798025,139.65,3.61
13.758543309948957,139.51,3.656
13.991739510426164,139.65,3.657
14.224935738692801,139.6,3.631
14.458131995212037,139.56,3.7
14.691328280447035,139.42,3.843
14.924524594860944,139.39,3.799
15.157720938916944,139.46,3.896
15.390917313078186,139.55,4.59
15.624113717807841,139.64,5.185
15.857310153569063,139.7,5.734
16.09050662082502,139.55,5.857
16.323703120038875,139.27,6.046
16.556899651673795,139.72,5.87
16.790096216192943,139.91,5.598
17.02329281405948,139.8,5.794
17.256489445736573,139.65,6.102
17.48968611168738,139.84,6.116
17.722882812375083,140.04,6.199
17.956079548262835,140.16,6.507
18.189276319813803,140.57,6.624
18.422473127491156,141.17,6.268
18.655669971758055,141.34,6.081
18.888866853077673,141.72,6.252
19.122063771913172,142.44,6.328
19.35526072872773,143.15,6.183
19.588457723984497,144.17,6.207
19.821654758146657,145.2,6.192
20.05485183167736,145.98,6.007
20.288048945039794,146.63,5.847
20.521246098697127,147.65,5.953
20.75444329311251,148.85,5.721
20.98764052874913,149.83,5.415
21.22083780607014,151,5.543
21.454035125538724,152.63,5.37
21.68723248761805,153.6,7.742
21.92042989277129,154.07,4.742
22.15362734146161,154.07,4.367
22.386824834152183,153.49,4.278
22.620022371306185,153.58,4.034
22.853219953386773,153.02,3.614
23.08641758085714,152.25,3.1
23.319615254180455,150.21,8.876
23.552812973819886,150.58,3.036
23.7860107402386,150.28,3.141
24.019208553899777,150.39,3.088
24.252406415266595,150.79,3.119
24.485604324802228,150.67,3.418
24.718802282969847,150.65,6.765
24.952000290232633,152.04,3.312
25.18519834705376,151.87,3.303
25.418396453896396,150.44,3.202
25.651594611223725,149.45,3.04
25.884792819498923,150.21,3.03
26.117991079185177,150.28,2.974
26.351189390745652,150.37,2.679
26.58438775464353,150.05,7.398
26.81758617134199,151.42,2.243
27.050784641304208,152.91,2.171
27.283983164993366,153.65,2.488
27.517181742872648,153.5,2.816
27.750380375405236,153.53,3.287
27.9835790630543,154.27,3.577
28.21677780628303,156.17,6.314
28.4499766055546,157,5.655
28.683175461332205,159.21,3.297
