R,VROT,VROT_ERROR
5.861984152,198,10
6.581876942,195,5
7.394327377,194,4
8.206777812,195,3.5
8.926670603,195,3
9.739121038,195,3.5
10.55157147,192,4
11.27146426,188,4
12.0839147,186,6
12.89636513,186,4
13.61625792,186,5
14.42870836,185,6
15.14860115,180,10
15.96105158,163,8
16.77350202,162,6
17.49339481,164,5
18.30584525,166,5
19.11829568,166,5.5
19.83818847,166,6.5
20.65063891,166,6
21.46308934,168,5
22.18298213,172,5
22.99543257,173,5
23.807883,171,5
24.52777579,170,5.5
25.34022623,172,7.5
26.06011902,173,5
26.87256945,176,5
27.68501989,178,5
28.40491268,180,6
29.21736311,180,8
30.02981355,180,5
30.74970634,180,5
31.56215677,178,5
32.37460721,174,5
33.0945,170,10
