R,VROT_DATA,VROT_DATA_ERROR
.04945099547404441,6.3,4.9
.14835298644305495,7.6,3
.2472549774748306,9.9,2.6
.34615696861121487,13.8,1.4
.44505895989405103,9.1,2.5
.5439609513651829,16.6,3.2
.6428629430664534,14.2,2.5
.8406669273267848,13.3,1.2
.9395689199695325,22.4,2.4
1.0384709130097929,25.2,5
1.1373729064894091,32,4
1.3351768949340834,30.8,1.7
1.4340788899828285,41.6,2.9
1.5329808856383034,44.6,2.3
1.6318828819423516,36.7,4
1.7307848789368163,51.2,3.9
1.829686876663541,44.9,1.8
1.9285888751643692,53.6,13
2.027490874481144,48.1,9.8
2.1263928746557106,59.8,9
